Número,Aberto,Atualizado em,Estado Relatório,Resolvido Relatório,Categoria Relatório,Subcategoria Relatório,Sintoma,Qualificação Sintoma,Grupo de atribuição,Categoria,Atribuído a,Prioridade,Encerrado,Solicitante Tarefa,Local,Descrição,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Resolução
INC0194887,09/02/2024 17:15:47,03/05/2024 14:34:26,Resolvido,5/3/2024,Outros Sistemas,Adapt,,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Fábrica 1,Lentidão sistema,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
INC0201867,22/03/2024 08:08:10,02/05/2024 14:40:15,Resolvido,5/2/2024,Outros Sistemas,Sistema Labware,,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Fábrica 1,Lentidão sistema,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
INC0204817,16/04/2024 13:35:32,03/05/2024 14:54:03,Resolvido,5/3/2024,Outros Sistemas,HCA,,Download,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Escritório central,Lentidão sistema,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
INC0205119,18/04/2024 07:17:26,02/05/2024 12:29:14,Resolvido,5/2/2024,Outros Sistemas,Lakos,,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Fábrica 1,Lentidão sistema,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
INC0208361,02/05/2024 11:47:19,02/05/2024 13:29:23,Resolvido,5/2/2024,Outros Sistemas,Outros Sistemas,,Outros,N1-NÃO SAP,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Fábrica 1,Impressora Não Imprime,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Impressora esta ligada?,"Sim, somente em minha maquina não imprime ",Realizado instalção driver impressora.
INC0208388,02/05/2024 16:59:33,02/05/2024 17:49:39,Resolvido,5/2/2024,Outros Sistemas,Gente & Gestão,,,N1-NÃO SAP,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Centro de Distribuição,Sistema não abre ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
TASK0900023,19/02/2024 08:16:45,01/05/2024 17:00:04,Fechado,4/26/2024,Acessos,Alteração de Perfil,Manutenção de transação e objeto,Com SAP,N1-ACESSOS-SAP,Acesso,Analista Acesso ,3 - Baixo,01/05/2024 17:00:04,ADM Sistemas,Fábrica 1,Incluir perfil espelho,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar perfil espelho,Usar perfil espelho XXXXXXX,Realizado conforme solicitado o espelhamento do perfil 
TASK0900593,19/02/2024 13:14:10,01/05/2024 11:00:05,Fechado,4/26/2024,Acessos,Alteração de Perfil,Troca de Perfil,Com SAP,N1-ACESSOS-SAP,Acesso,Analista Acesso ,2 - Médio,01/05/2024 11:00:05,ADM Sistemas,Fábrica 1,Troca de pefil,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar perfil espelho,Usar perfil espelho XXXXXXX,Realizado conforme solicitado o espelhamento do perfil 
TASK0902990,21/02/2024 15:57:24,01/05/2024 18:00:04,Fechado,4/26/2024,Acessos,Liberação de Acesso,Criação de Acesso,Com SAP,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 18:00:04,ADM Sistemas,Centro de Distribuição,Criar usuário de rede ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0912173,05/03/2024 16:55:51,03/05/2024 16:17:38,Resolvido,5/3/2024,Funcional SAP,Solicitação,Análise SAP,Outros,N1-SAP,Service Desk,Analista Service Desk,4 - Planejamento,03/05/2024 16:17:38,ADM Sistemas,Fábrica 1,Impressora Não Imprime,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Impressora esta ligada?,"Não, estamos sem energia no local",Realizado acionamento time de facilites local.
TASK0919208,14/03/2024 18:18:18,01/05/2024 18:00:40,Fechado,4/26/2024,Acessos,Alteração de Perfil,Outras manutenções de Perfil,Com SAP,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 18:00:40,ADM Sistemas,Fábrica 1,Incluir perfil espelho,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar perfil espelho,Usar perfil espelho XXXXXXX,Realizado conforme solicitado o espelhamento do perfil 
TASK0926414,25/03/2024 17:17:59,01/05/2024 16:00:04,Fechado,4/26/2024,Equipamento de TI,Solicitação de Equipamento,Colaborador Interno,Capitais e Regiões Metropolitanas,N2-FS-CA,Field Service,Analista Field,3 - Baixo,01/05/2024 16:00:04,ADM Sistemas,Centro de Distribuição,Solicitação de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data e local entrega,Equipamentos liberados para entrega,Equipamentos entregue e termos assinados
TASK0928474,28/03/2024 09:31:03,02/05/2024 09:08:05,Resolvido,5/2/2024,Acessos,Atualização de Acesso,Atualização de dados cadastrais na BU,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,02/05/2024 09:08:06,ADM Sistemas,Fábrica 1,Atualização de Acesso,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0929053,28/03/2024 17:23:31,03/05/2024 08:41:16,Resolvido,5/3/2024,Sistemas SAP,Suporte Funcional,Analise,Ordem de Produção,N1-SAP,Service Desk,Analista Service Desk,2 - Médio,03/05/2024 08:41:17,ADM Sistemas,Fábrica 1,Suporte Funcional,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0931383,02/04/2024 13:05:46,02/05/2024 10:41:16,Resolvido,5/2/2024,Outros Sistemas,Nugenesis,Outros,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,22/04/2024 15:05:12,ADM Sistemas,Fábrica 1,Sistema lento ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0933095,04/04/2024 10:37:29,01/05/2024 13:00:42,Fechado,4/26/2024,Equipamento de TI,Troca de Equipamento,Colaborador Externo,Acima de 300Km,N2-FS-EX,Field Service,Analista Field,3 - Baixo,01/05/2024 13:00:42,ADM Sistemas,Centro de Distribuição,Troca de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data e local entrega,Equipamentos liberados para entrega,Equipamentos entregue e termos assinados
TASK0933890,05/04/2024 09:45:04,03/05/2024 09:42:44,Resolvido,5/3/2024,Acessos,Criar Perfil SAP,Criar perfil SAP,,N1-SAP,Service Desk,Analista Service Desk,3 - Baixo,03/05/2024 09:42:44,ADM Sistemas,Escritório central,Criar Perfil SAP,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Enviar aval gestor imediato para seguirmos com criação do acesso ,Realizado envio das informações solicitadas,"Ralizado a criação do acesso, enviado ao gestor imediato as informações."
TASK0935862,09/04/2024 09:32:28,02/05/2024 14:22:32,Resolvido,5/2/2024,Equipamento de TI,Configuração de Equipamento,Configuração de Equipamento,,N2-FS-NA,Field Service,Analista Field,3 - Baixo,02/05/2024 14:22:33,ADM Sistemas,Fábrica 1,Configuração de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Configurar Smartphone XXXX,informar melhor horário para atendimento ,Realizado a configuração do smartphone conforme solicitado
TASK0937918,11/04/2024 12:02:32,01/05/2024 10:02:12,Fechado,4/26/2024,Equipamento de TI,Devolução de Equipamento,Colaborador Interno,Capitais e Regiões Metropolitanas,N2-FS-NA,Field Service,Analista Field,3 - Baixo,01/05/2024 10:02:12,ADM Sistemas,Fábrica 1,Devolução de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Realizar entrega dos equipamentos ao time de gestão de ativos,Realizado entrega dos equipamentos,Equipamentos devolvidos ao estoque local 
TASK0939623,15/04/2024 10:39:31,01/05/2024 11:02:04,Fechado,4/26/2024,Serviços de TI,Infraestrutura - Soluções,Aquisição / Renovação de Aplicativo,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 11:02:04,ADM Sistemas,Centro de Distribuição,Solicito novo ponto de rede,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar local e aval para criação ponto de rede,Aguardando passagem do cabeamento,Pontos criados e ativados
TASK0942133,17/04/2024 18:12:59,01/05/2024 10:02:56,Fechado,4/26/2024,Sistemas,Admissão,Admissão,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 10:02:56,ADM Sistemas,Fábrica 1,Criar usuário de rede ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0944627,22/04/2024 12:12:06,02/05/2024 19:54:09,Resolvido,5/2/2024,Acessos,Prorrogação de Acessos,Prorrogação de Acessos SAP,,N1-ACESSOS-SAP,Acesso,Analista Acesso ,3 - Baixo,02/05/2024 19:54:09,ADM Sistemas,Escritório central,Prorrogação de Acessos,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Realizado a prorrogação dos acessos conforme solicitado
